# experiment: baseline
# description: Room temp, refresh OFF
# start_time: 2026-04-03T20:58:46.445671+00:00
timestamp,iteration,hold_s,refresh_rate,flip_count,experiment
2026-04-03T21:06:49.597015+00:00,132,5,OFF,0,baseline
2026-04-03T21:06:53.274654+00:00,133,5,OFF,0,baseline
2026-04-03T21:06:56.939608+00:00,134,5,OFF,0,baseline
2026-04-03T21:07:00.618315+00:00,135,5,OFF,0,baseline
2026-04-03T21:07:04.279411+00:00,136,5,OFF,0,baseline
2026-04-03T21:07:07.962264+00:00,137,5,OFF,0,baseline
2026-04-03T21:07:11.621235+00:00,138,5,OFF,0,baseline
2026-04-03T21:07:15.307050+00:00,139,5,OFF,0,baseline
2026-04-03T21:07:18.970377+00:00,140,5,OFF,0,baseline
2026-04-03T21:07:22.651521+00:00,141,5,OFF,0,baseline
2026-04-03T21:07:26.308600+00:00,142,5,OFF,0,baseline
2026-04-03T21:07:29.993450+00:00,143,5,OFF,0,baseline
2026-04-03T21:07:33.657409+00:00,144,5,OFF,0,baseline
2026-04-03T21:07:37.336480+00:00,145,5,OFF,0,baseline
2026-04-03T21:07:40.998958+00:00,146,5,OFF,0,baseline
2026-04-03T21:07:44.679308+00:00,147,5,OFF,0,baseline
2026-04-03T21:07:48.341596+00:00,148,5,OFF,0,baseline
2026-04-03T21:07:52.020926+00:00,149,5,OFF,0,baseline
2026-04-03T21:07:55.687945+00:00,150,5,OFF,0,baseline
2026-04-03T21:07:59.368468+00:00,151,5,OFF,0,baseline
2026-04-03T21:08:03.031592+00:00,152,5,OFF,0,baseline
2026-04-03T21:08:06.711326+00:00,153,5,OFF,0,baseline
2026-04-03T21:08:10.375978+00:00,154,5,OFF,0,baseline
2026-04-03T21:08:14.054607+00:00,155,5,OFF,0,baseline
2026-04-03T21:08:17.719940+00:00,156,5,OFF,0,baseline
2026-04-03T21:08:21.399836+00:00,157,5,OFF,0,baseline
2026-04-03T21:08:25.063647+00:00,158,5,OFF,0,baseline
2026-04-03T21:08:28.740202+00:00,159,5,OFF,0,baseline
2026-04-03T21:08:32.407111+00:00,160,5,OFF,0,baseline
2026-04-03T21:08:36.087630+00:00,161,5,OFF,0,baseline
2026-04-03T21:08:39.751530+00:00,162,5,OFF,0,baseline
2026-04-03T21:08:43.425952+00:00,163,5,OFF,0,baseline
2026-04-03T21:08:47.093773+00:00,164,5,OFF,0,baseline
2026-04-03T21:08:50.773301+00:00,165,5,OFF,0,baseline
2026-04-03T21:08:54.435354+00:00,166,5,OFF,0,baseline
2026-04-03T21:08:58.119077+00:00,167,5,OFF,0,baseline
2026-04-03T21:09:01.779138+00:00,168,5,OFF,0,baseline
2026-04-03T21:09:05.461921+00:00,169,5,OFF,0,baseline
2026-04-03T21:09:09.126263+00:00,170,5,OFF,0,baseline
2026-04-03T21:09:12.805378+00:00,171,5,OFF,0,baseline
2026-04-03T21:09:16.466292+00:00,172,5,OFF,0,baseline
2026-04-03T21:09:20.143823+00:00,173,5,OFF,0,baseline
2026-04-03T21:09:23.815499+00:00,174,5,OFF,0,baseline
2026-04-03T21:09:27.492924+00:00,175,5,OFF,0,baseline
2026-04-03T21:09:31.156561+00:00,176,5,OFF,0,baseline
2026-04-03T21:09:34.833497+00:00,177,5,OFF,0,baseline
2026-04-03T21:09:38.494285+00:00,178,5,OFF,0,baseline
2026-04-03T21:09:42.180554+00:00,179,5,OFF,0,baseline
2026-04-03T21:09:45.839502+00:00,180,5,OFF,0,baseline
2026-04-03T21:09:49.516200+00:00,181,5,OFF,0,baseline
2026-04-03T21:09:53.187493+00:00,182,5,OFF,0,baseline
2026-04-03T21:09:56.862638+00:00,183,5,OFF,0,baseline
2026-04-03T21:10:00.531938+00:00,184,5,OFF,0,baseline
2026-04-03T21:10:04.206558+00:00,185,5,OFF,0,baseline
2026-04-03T21:10:07.875366+00:00,186,5,OFF,0,baseline
2026-04-03T21:10:11.554813+00:00,187,5,OFF,0,baseline
2026-04-03T21:10:15.216579+00:00,188,5,OFF,0,baseline
2026-04-03T21:10:18.899065+00:00,189,5,OFF,0,baseline
2026-04-03T21:10:22.562913+00:00,190,5,OFF,0,baseline
2026-04-03T21:10:26.241379+00:00,191,5,OFF,0,baseline
2026-04-03T21:10:29.905218+00:00,192,5,OFF,0,baseline
2026-04-03T21:10:33.578883+00:00,193,5,OFF,0,baseline
2026-04-03T21:10:37.250747+00:00,194,5,OFF,0,baseline
2026-04-03T21:10:40.930403+00:00,195,5,OFF,0,baseline
2026-04-03T21:10:44.592553+00:00,196,5,OFF,0,baseline
2026-04-03T21:10:48.270790+00:00,197,5,OFF,0,baseline
2026-04-03T21:10:51.937420+00:00,198,5,OFF,0,baseline
2026-04-03T21:10:55.619078+00:00,199,5,OFF,0,baseline
2026-04-03T21:10:59.280655+00:00,200,5,OFF,0,baseline
2026-04-03T21:11:02.960408+00:00,201,5,OFF,0,baseline
2026-04-03T21:11:06.620673+00:00,202,5,OFF,0,baseline
2026-04-03T21:11:10.305311+00:00,203,5,OFF,0,baseline
2026-04-03T21:11:13.967881+00:00,204,5,OFF,0,baseline
2026-04-03T21:11:17.648052+00:00,205,5,OFF,0,baseline
2026-04-03T21:11:21.310439+00:00,206,5,OFF,0,baseline
2026-04-03T21:11:24.983055+00:00,207,5,OFF,0,baseline
2026-04-03T21:11:28.653892+00:00,208,5,OFF,0,baseline
2026-04-03T21:11:32.335070+00:00,209,5,OFF,0,baseline
2026-04-03T21:11:35.994647+00:00,210,5,OFF,0,baseline
2026-04-03T21:11:39.679429+00:00,211,5,OFF,0,baseline
2026-04-03T21:11:43.340455+00:00,212,5,OFF,0,baseline
2026-04-03T21:11:47.022460+00:00,213,5,OFF,0,baseline
2026-04-03T21:11:50.686340+00:00,214,5,OFF,0,baseline
2026-04-03T21:11:54.367033+00:00,215,5,OFF,0,baseline
2026-04-03T21:11:58.029999+00:00,216,5,OFF,0,baseline
2026-04-03T21:12:01.700410+00:00,217,5,OFF,0,baseline
2026-04-03T21:12:05.371242+00:00,218,5,OFF,0,baseline
2026-04-03T21:12:09.053151+00:00,219,5,OFF,0,baseline
